グループ名,名前,よみ,生年月日,出身地,血液型,身長,加入期,卒業・辞退・契約終了日,現在の所属事務所ほか
乃木坂46,和田まあや,わだ まあや,1998/4/23,広島県,O型,161,1期生,2022/12/4,-
乃木坂46,齋藤飛鳥,さいとう あすか,1998/8/10,東京都,O型,158,1期生,2022/12/31,乃木坂46合同会社
乃木坂46,秋元真夏,あきもと まなつ,1993/8/20,埼玉県,B型,156,1期生,2023/2/26,ジャパン・ミュージックエンターテインメント
乃木坂46,鈴木絢音,すずき あやね,1999/3/5,秋田県,O型,161,2期生,2023/3/28,A.M.Entertainment
乃木坂46,北川悠理,きたがわ ゆり,2001/8/8,カリフォルニア州,不明,165,4期生,2023/6/30,-
乃木坂46,早川聖来,はやかわ せいら,2000/8/24,大阪府,A型,164,4期生,2023/8/24,-
乃木坂46,山下美月,やました みづき,1999/7/26,東京都,O型,160,3期生,2024/5/12,乃木坂46合同会社
乃木坂46,阪口珠美,さかぐち たまみ,2001/11/10,東京都,A型,161,3期生,2024/7/15,ディープスキル
乃木坂46,清宮レイ,せいみや レイ,2003/8/1,埼玉県,O型,164,4期生,2024/7/17,マシットスター
乃木坂46,掛橋沙耶香,かけはし さやか,2002/11/20,岡山県,B型,154,4期生,2024/8/19,-
乃木坂46,向井葉月,むかい はづき,1999/8/23,東京都,A型,152,3期生,2024/12/31,-
乃木坂46,与田祐希,よだ ゆうき,2000/5/5,福岡県,O型,153,3期生,2025/2/23,乃木坂46合同会社
乃木坂46,佐藤楓,さとう かえで,1998/3/23,愛知県,A型,161,3期生,2025/5/6,-
乃木坂46,中村麗乃,なかむら れの,2001/9/27,東京都,不明,167,3期生,2025/6/26,-
乃木坂46,久保史緒里,くぼ しおり,2001/7/14,宮城県,O型,161,3期生,2025/11/27,乃木坂46合同会社
乃木坂46,松尾美佑,まつお みゆ,2004/1/3,千葉県,O型,167,4期生,2025/12/31,-
乃木坂46,矢久保美緒,やくぼ みお,2002/8/14,東京都,B型,153,4期生,2025/12/31,-
乃木坂46,伊藤理々杏,いとう りりあ,2002/10/8,沖縄県,B型,154,3期生,-,-
乃木坂46,岩本蓮加,いわもと れんか,2004/2/2,東京都,B型,159,3期生,-,-
乃木坂46,梅澤美波,うめざわ みなみ,1999/1/6,神奈川県,A型,170,3期生,-,-
乃木坂46,吉田綾乃クリスティー,よしだ あやのクリスティー,1995/9/6,大分県,A型,161,3期生,-,-
乃木坂46,遠藤さくら,えんどう さくら,2001/10/3,愛知県,O型,164,4期生,-,-
乃木坂46,賀喜遥香,かき はるか,2001/8/8,栃木県,A型,166,4期生,-,-
乃木坂46,金川紗耶,かながわ さや,2001/10/31,北海道,O型,165,4期生,-,-
乃木坂46,黒見明香,くろみ はるか,2004/1/19,東京都,O型,163,4期生,-,-
乃木坂46,佐藤璃果,さとう りか,2001/8/9,岩手県,B型,160,4期生,-,-
乃木坂46,柴田柚菜,しばた ゆな,2003/3/3,千葉県,A型,160,4期生,-,-
乃木坂46,田村真佑,たむら まゆ,1999/1/12,埼玉県,A型,160,4期生,-,-
乃木坂46,筒井あやめ,つつい あやめ,2004/6/8,愛知県,O型,160,4期生,-,-
乃木坂46,林瑠奈,はやし るな,2003/10/2,神奈川県,O型,164,4期生,-,-
乃木坂46,弓木奈於,ゆみき なお,1999/2/3,京都府,A型,165,4期生,-,-
乃木坂46,五百城茉央,いおき まお,2005/7/29,兵庫県,O型,166,5期生,-,-
乃木坂46,池田瑛紗,いけだ てれさ,2002/5/12,東京都,不明,162,5期生,-,-
乃木坂46,一ノ瀬美空,いちのせ みく,2003/5/24,福岡県,B型,156,5期生,-,-
乃木坂46,井上和,いのうえ なぎ,2005/2/17,神奈川県,B型,158,5期生,-,-
乃木坂46,岡本姫奈,おかもと ひな,2003/12/17,愛知県,A型,160,5期生,-,-
乃木坂46,小川彩,おがわ あや,2007/6/27,千葉県,B型,154,5期生,-,-
乃木坂46,奥田いろは,おくだ いろは,2005/8/20,千葉県,A型,157,5期生,-,-
乃木坂46,川﨑桜,かわさき さくら,2003/4/17,神奈川県,不明,155,5期生,-,-
乃木坂46,菅原咲月,すがわら さつき,2005/10/31,千葉県,A型,158.5,5期生,-,-
乃木坂46,冨里奈央,とみさと なお,2006/9/18,千葉県,O型,164,5期生,-,-
乃木坂46,中西アルノ,なかにし アルノ,2003/3/17,千葉県,A型,157,5期生,-,-
乃木坂46,愛宕心響,あたご ここね,2005/9/17,兵庫県,不明,160,6期生,-,-
乃木坂46,大越ひなの,おおこし ひなの,2004/12/1,静岡県,B型,164,6期生,-,-
乃木坂46,小津玲奈,おづ れいな,2007/4/17,東京都,AB型,155,6期生,-,-
乃木坂46,海邉朱莉,かいべ あかり,2007/2/14,兵庫県,O型,166,6期生,-,-
乃木坂46,川端晃菜,かわばた ひな,2011/1/14,東京都,B型,156,6期生,-,-
乃木坂46,鈴木佑捺,すずき ゆうな,2006/5/18,山梨県,AB型,157,6期生,-,-
乃木坂46,瀬戸口心月,せとぐち みつき,2005/7/16,鹿児島県,A型,153,6期生,-,-
乃木坂46,長嶋凛桜,ながしま りお,2007/5/25,北海道,A型,157,6期生,-,-
乃木坂46,増田三莉音,ますだ みりね,2009/11/1,大阪府,O型,156,6期生,-,-
乃木坂46,森平麗心,もりひら うるみ,2008/10/5,東京都,A型,156,6期生,-,-
乃木坂46,矢田萌華,やだ もえか,2008/1/27,秋田県,B型,161,6期生,-,-
日向坂46,長濱ねる,ながはま ねる,1998/9/4,長崎県,O型,159,特例,2017/9/24,フラーム
日向坂46,柿崎芽実,かきざき めみ,2001/12/2,長野県,A型,157,1期生,2019/8/11,-
日向坂46,井口眞緒,いぐち まお,1995/11/10,新潟県,AB型,163,1期生,2020/3/30,-
日向坂46,渡邉美穂,わたなべ みほ,2000/2/24,埼玉県,A型,158.2,2期生,2022/7/31,クィーンビー
日向坂46,宮田愛萌,みやた まなも,1998/4/28,東京都,A型,159.3,2期生,2022/12/18,株式会社FARM
日向坂46,影山優佳,かげやま ゆうか,2001/5/8,東京都,O型,155,1期生,2023/7/23,プロダクション尾木
日向坂46,岸帆夏,きし ほのか,2004/8/15,東京都,O型,156.5,4期生,2023/12/7,-
日向坂46,潮紗理菜,うしお さりな,1997/12/26,神奈川県,O型,157.5,1期生,2023/12/31,セント・フォース
日向坂46,齊藤京子,さいとう きょうこ,1997/9/5,東京都,A型,155.5,1期生,2024/4/5,東宝芸能
日向坂46,高本彩花,たかもと あやか,1998/11/2,神奈川県,B型,162.5,1期生,2024/7/31,-
日向坂46,濱岸ひより,はまぎし ひより,2002/9/28,福岡県,A型,167.5,2期生,2024/12/5,ホリプロ
日向坂46,加藤史帆,かとう しほ,1998/2/2,東京都,A型,160.5,1期生,2024/12/25,Seed & Flower
日向坂46,東村芽依,ひがしむら めい,1998/8/23,奈良県,O型,154.5,1期生,2025/1/25,TWIN PLANET
日向坂46,丹生明里,にぶ あかり,2001/2/15,埼玉県,AB型,157,2期生,2025/1/29,Seed & Flower
日向坂46,佐々木美玲,ささき みれい,1999/12/17,兵庫県,O型,165.7,1期生,2025/4/5,クィーンビー
日向坂46,佐々木久美,ささき くみ,1996/1/22,千葉県,O型,168.3,1期生,2025/4/6,Seed & Flower
日向坂46,高瀬愛奈,たかせ まな,1998/9/20,大阪府,A型,157.2,1期生,2025/5/1,-
日向坂46,富田鈴花,とみた すずか,2001/1/18,神奈川県,A型,165.2,2期生,2025/8/5,-
日向坂46,河田陽菜,かわた ひな,2001/7/23,山口県,B型,154.5,2期生,2025/11/19,-
日向坂46,金村美玖,かねむら みく,2002/9/10,埼玉県,O型,163,2期生,-,-
日向坂46,小坂菜緒,こさか なお,2002/9/7,大阪府,O型,161.5,2期生,-,-
日向坂46,松田好花,まつだ このか,1999/4/27,京都府,A型,157.5,2期生,-,-
日向坂46,上村ひなの,かみむら ひなの,2004/4/12,東京都,AB型,163,3期生,-,-
日向坂46,髙橋未来虹,たかはし みくに,2003/9/27,東京都,B型,170.6,3期生,-,-
日向坂46,森本茉莉,もりもと まりぃ,2004/2/23,東京都,A型,162.4,3期生,-,-
日向坂46,山口陽世,やまぐち はるよ,2004/2/23,鳥取県,O型,152.5,3期生,-,-
日向坂46,石塚瑶季,いしづか たまき,2004/8/6,東京都,A型,153.5,4期生,-,-
日向坂46,小西夏菜実,こにし ななみ,2004/10/3,兵庫県,B型,164.8,4期生,-,-
日向坂46,清水理央,しみず りお,2005/1/15,千葉県,AB型,165,4期生,-,-
日向坂46,正源司陽子,しょうげんじ ようこ,2007/2/14,兵庫県,B型,158.4,4期生,-,-
日向坂46,竹内希来里,たけうち きらり,2006/2/20,広島県,AB型,154.5,4期生,-,-
日向坂46,平尾帆夏,ひらお ほのか,2003/7/31,鳥取県,A型,158.5,4期生,-,-
日向坂46,平岡海月,ひらおか みつき,2002/4/9,福井県,A型,157.9,4期生,-,-
日向坂46,藤嶌果歩,ふじしま かほ,2006/8/7,北海道,不明,160.4,4期生,-,-
日向坂46,宮地すみれ,みやち すみれ,2005/12/31,神奈川県,不明,165,4期生,-,-
日向坂46,山下葉留花,やました はるか,2003/5/20,愛知県,O型,161,4期生,-,-
日向坂46,渡辺莉奈,わたなべ りな,2009/2/7,福岡県,A型,154,4期生,-,-
日向坂46,大田美月,おおた みづき,2006/12/7,大阪府,A型,163,5期生,-,-
日向坂46,大野愛実,おおの まなみ,2007/5/5,東京都,B型,153,5期生,-,-
日向坂46,片山紗希,かたやま さき,2006/12/26,埼玉県,A型,159,5期生,-,-
日向坂46,蔵盛妃那乃,くらもり ひなの,2006/1/23,大阪府,B型,153,5期生,-,-
日向坂46,坂井新奈,さかい にいな,2009/3/14,神奈川県,A型,160,5期生,-,-
日向坂46,佐藤優羽,さとう ゆう,2006/9/10,福岡県,AB型,159.4,5期生,-,-
日向坂46,下田衣珠季,しもだ いずき,2006/12/26,千葉県,A型,154,5期生,-,-
日向坂46,高井俐香,たかい りか,2007/8/1,兵庫県,O型,164,5期生,-,-
日向坂46,鶴崎仁香,つるさき にこ,2004/3/27,神奈川県,B型,166,5期生,-,-
日向坂46,松尾桜,まつお さくら,2005/6/8,神奈川県,A型,159.2,5期生,-,-
櫻坂46,今泉佑唯,いまいずみ ゆい,1998/9/30,神奈川県,O型,153,1期生,2018/11/4,seju
櫻坂46,志田愛佳,しだ まなか,1998/11/23,新潟県,A型,169,1期生,2018/11/16,-
櫻坂46,米谷奈々未,よねたに ななみ,2000/2/24,大阪府,B型,159,1期生,2019/2/10,-
櫻坂46,長濱ねる,ながはま ねる,1998/9/4,長崎県,O型,159,特例,2019/7/30,フラーム
櫻坂46,織田奈那,おだ なな,1998/6/4,静岡県,O型,162,1期生,2020/1/23,seju
櫻坂46,鈴本美愉,すずもと みゆ,1997/12/5,愛知県,AB型,156,1期生,2020/1/23,-
櫻坂46,平手友梨奈,ひらて ゆりな,2001/6/25,愛知県,O型,163,1期生,2020/1/23,クラウドナイン
櫻坂46,長沢菜々香,ながさわ ななこ,1997/4/23,山形県,A型,158,1期生,2020/3/31,-
櫻坂46,石森虹花,いしもり にじか,1997/5/7,宮城県,A型,162.7,1期生,2020/9/30,-
櫻坂46,佐藤詩織,さとう しおり,1996/11/16,東京都,A型,161,1期生,2020/10/13,-
櫻坂46,松平璃子,まつだいら りこ,1998/5/5,東京都,O型,169,2期生,2021/3/14,-
櫻坂46,守屋茜,もりや あかね,1997/11/12,宮城県,A型,163.5,1期生,2021/12/19,テンカラット
櫻坂46,渡辺梨加,わたなべ りか,1995/5/16,茨城県,O型,166.5,1期生,2021/12/19,-
櫻坂46,渡邉理佐,わたなべ りさ,1998/7/27,茨城県,O型,167,1期生,2022/5/22,-
櫻坂46,原田葵,はらだ あおい,2000/5/7,東京都,AB型,156,1期生,2022/6/11,フジテレビジョン
櫻坂46,尾関梨香,おぜき りか,1997/10/7,神奈川県,O型,156.5,1期生,2022/9/11,-
櫻坂46,菅井友香,すがい ゆうか,1995/11/29,東京都,AB型,165,1期生,2022/11/9,トップコート
櫻坂46,関有美子,せき ゆみこ,1998/6/29,福岡県,A型,167,2期生,2023/4/30,-
櫻坂46,土生瑞穂,はぶ みづほ,1997/7/7,東京都,A型,171.6,1期生,2023/11/25,エースクルー・エンタテインメント
櫻坂46,小林由依,こばやし ゆい,1999/10/23,埼玉県,A型,161,1期生,2024/2/1,-
櫻坂46,齋藤冬優花,さいとう ふゆか,1998/2/15,東京都,O型,158,1期生,2025/1/13,INFINITY
櫻坂46,上村莉菜,うえむら りな,1997/1/4,千葉県,O型,153.5,1期生,2025/2/16,-
櫻坂46,小池美波,こいけ みなみ,1998/11/14,兵庫県,B型,158.5,1期生,2025/5/30,-
櫻坂46,井上梨名,いのうえ りな,2001/1/29,兵庫県,A型,163,2期生,-,-
櫻坂46,遠藤光莉,えんどう ひかり,1999/4/17,神奈川県,A型,164.5,2期生,-,-
櫻坂46,大園玲,おおぞの れい,2000/4/18,鹿児島県,A型,163,2期生,-,-
櫻坂46,大沼晶保,おおぬま あきほ,1999/10/12,静岡県,B型,162,2期生,-,-
櫻坂46,幸阪茉里乃,こうさか まりの,2002/12/19,三重県,O型,154.5,2期生,-,-
櫻坂46,武元唯衣,たけもと ゆい,2002/3/23,滋賀県,O型,158.5,2期生,-,-
櫻坂46,田村保乃,たむら ほの,1998/10/21,大阪府,A型,163,2期生,-,-
櫻坂46,藤吉夏鈴,ふじよし かりん,2001/8/29,大阪府,A型,166.5,2期生,-,-
櫻坂46,増本綺良,ますもと きら,2002/1/12,兵庫県,A型,158.4,2期生,-,-
櫻坂46,松田里奈,まつだ りな,1999/10/13,宮崎県,O型,159.5,2期生,-,-
櫻坂46,森田ひかる,もりた ひかる,2001/7/10,福岡県,B型,150.5,2期生,-,-
櫻坂46,守屋麗奈,もりや れな,2000/1/2,東京都,AB型,154,2期生,-,-
櫻坂46,山﨑天,やまさき てん,2005/9/28,大阪府,A型,168.4,2期生,-,-
櫻坂46,石森璃花,いしもり りか,2002/1/13,群馬県,B型,159,3期生,-,-
櫻坂46,遠藤理子,えんどう りこ,2006/1/9,埼玉県,A型,155,3期生,-,-
櫻坂46,小田倉麗奈,おだくら れいな,2004/7/25,東京都,A型,163,3期生,-,-
櫻坂46,小島凪紗,こじま なぎさ,2005/7/7,長野県,不明,165,3期生,-,-
櫻坂46,谷口愛季,たにぐち あいり,2005/4/12,山口県,O型,151,3期生,-,-
櫻坂46,中嶋優月,なかしま ゆづき,2003/2/17,福岡県,A型,162,3期生,-,-
櫻坂46,的野美青,まとの みお,2006/11/8,福岡県,AB型,167,3期生,-,-
櫻坂46,向井純葉,むかい いとは,2006/5/9,広島県,AB型,164,3期生,-,-
櫻坂46,村井優,むらい ゆう,2004/8/18,東京都,B型,156,3期生,-,-
櫻坂46,村山美羽,むらやま みう,2005/2/15,東京都,O型,168,3期生,-,-
櫻坂46,山下瞳月,やました しづき,2005/1/22,京都府,A型,152,3期生,-,-
櫻坂46,浅井恋乃未,あさい このみ,2004/12/22,埼玉県,A型,156,4期生,-,-
櫻坂46,稲熊ひな,いなぐま ひな,2006/3/9,愛知県,AB型,156,4期生,-,-
櫻坂46,勝又春,かつまた はる,2004/1/24,京都府,A型,167,4期生,-,-
櫻坂46,佐藤愛桜,さとう ねお,2006/12/1,佐賀県,O型,157,4期生,-,-
櫻坂46,中川智尋,なかがわ ちひろ,2007/9/16,長崎県,O型,157,4期生,-,-
櫻坂46,松本和子,まつもと わこ,2005/2/6,千葉県,O型,162,4期生,-,-
櫻坂46,目黒陽色,めぐろ ひいろ,2006/1/24,埼玉県,A型,169.4,4期生,-,-
櫻坂46,山川宇衣,やまかわ うい,2005/9/19,宮城県,不明,159,4期生,-,-
櫻坂46,山田桃実,やまだ ももみ,2008/7/20,岡山県,AB型,164,4期生,-,-
